name,state,station_id,station_description,latitude,longitude,model_city,international,kind,challenging,wicked
New York,NY,USW00094728,New York central park,40.7789,-73.9692,1,0,0,0,0
Los Angeles,CA,USW00093134,USC campus,34.0511,-118.2353,1,0,0,0,0
Chicago,IL,USW00094846,Chicago airport,41.995,-87.9336,1,0,0,0,0
Honolulu,HI,USW00022521,Honolulu airport,21.3239,-157.9294,0,0,0,0,0
Sydney,Australia,ASN00066062,Observatory hill,-33.8607,151.205,0,1,0,0,1
Memphis,TN,USW00013893,Memphis airport,35.0564,-89.9864,0,0,0,0,0
Dallas,TX,USW00013960,Love field,32.8519,-96.8556,1,0,0,0,0
San Francisco,CA,USW00023272,San francisco downtown,37.7706,-122.4269,1,0,0,0,0
Albany,NY,USW00014735,Albany airport,42.7431,-73.8092,0,0,0,0,0
Bloomington,IN,USC00120784,Indiana university,39.1742,-86.5214,0,0,0,0,0
Tokyo,Japan,JA000047662,Downtown Tokyo,35.683,139.767,0,1,0,1,0
Houston,TX,USW00012960,George Bush airport,29.98,-95.36,1,0,0,0,0
Washington,DC,USW00013743,Reagan airport,38.8483,-77.0342,1,0,0,0,0
Philadelphia,PA,USW00013739  ,Philalphia airport,39.8683,-75.2311,1,0,0,0,0
Atlanta,GA,USW00013874  ,Atlanta airport,33.63,-84.4417,1,0,0,0,0
Miami,FL,USW00012839  ,Miami airport,25.7906,-80.3164,1,0,0,0,0
Phoenix,AZ,USW00023183  ,Phoenix airport,33.4278,-112.0039,1,0,0,0,0
Boston,MA,USW00014739  ,Boston airport,42.3606,-71.0106,1,0,0,0,0
Riverside,CA,USW00003171,Riverside airport,33.9519,-117.4386,1,0,0,0,0
Detroit,MI,USW00094847  ,Detroit airport,42.2314,-83.3308,1,0,0,0,0
Seattle,WA,USW00024233  ,Seatac airport,47.4444,-122.3139,1,0,0,0,0
Minneapolis,MN,USW00014922  ,Minneapolis/St Paul airport,44.8831,-93.2289,1,0,0,0,0
San Diego,CA,USW00023188  ,San Diego airport,32.7336,-117.1831,1,0,0,0,0
Tampa,FL,USW00012842  ,Tampta international airport,27.9619,-82.5403,1,0,0,0,0
Denver,CO,USW00003017,Denver airport,39.8328,-104.6575,2,0,1,0,0
Baltimore,MD,USW00093784  ,Maryland science center,39.2814,-76.6089,2,0,1,0,0
St. Louis,MO,USW00013994  ,St Louis airport,38.7525,-90.3736,2,0,1,0,0
Charlotte,NC,USW00013881  ,Charlotte airport,35.2236,-80.9553,2,0,1,0,0
Orlando,FL,USW00012815,Orlando airport,28.4339,-81.325,2,0,1,0,0
San Antonio,TX,USW00012921,San Antonio airport,29.5442,-98.4839,2,0,1,0,0
Portland,OR,USW00024229  ,Portland airport,45.5908,-122.6003,2,0,1,0,0
Sacramento,CA,USW00023232  ,Sacramento executive airport,38.5069,-121.495,2,0,1,0,0
Pittsburgh,PA,USW00094823,Pittsburgh airport,40.4847,-80.2144,0,0,0,0,0
Austin,TX,USW00013958,Camp Mabry,30.3208,-97.76,0,0,0,0,0
Las Vegas,NV,USW00023169,Las Vegas aiport,36.0719,-115.1633,0,0,0,0,0
Cincinnati,OH,USW00093814,Cincinatti airport,39.0431,-84.6717,0,0,0,0,0
Kansas City,MO,USW00013988,Kansas city airport,39.1208,-94.5969,0,0,0,0,0
Columbus,OH,USW00014821,Colombus airport,39.9914,-82.8808,0,0,0,0,0
Indianapolis,IN,USW00093819  ,Indianapolis airport,39.7075,-86.2803,0,0,0,0,0
Cleveland,OH,USW00014820  ,Cleveland airport,41.4131,-81.86,0,0,0,0,0
Nashville,TN,USW00013897,Nashville airport,36.1189,-86.6892,0,0,0,0,0
Delhi,India,IN022021900  ,Safdarjung,28.583,77.2,0,1,0,1,0
Sao Paulo,Brazil,BR00E3-0520,Near the airport: Station from wikipedia only goes to 1997,-23.617,-46.65,0,1,0,0,1
Mexico City,Mexico,MXM00076680  ,Tacabuya,19.4,-99.183,0,1,0,1,0
Cairo,Egypt,EGE00147729  ,Cairo University (not sure which was on Wikipedia),31.21,28,0,1,0,1,0
Buenos Aires,Argentina,AR000875850 ,Buenos Aires Observatory,-34.583,-58.483,0,1,0,0,1
Lagos,Nigeria,NIM00065201   ,Murtala Muhammed International Airport,6.577,3.321,0,1,0,1,0
Paris,France,FRM00007149  ,Paris Orly (different from Wikipedia but better data),48.8217,2.3378,0,1,0,1,0
London,UK,UKM00003772  ,Heathrow airport,51.478,-0.461,0,1,0,1,0
Toronto,Canada,CA006158355  ,The Annex,43.6667,-79.4,0,1,0,1,0
Auckland,New Zealand,NZM00093110 ,Auckland airport,-37,174.8,0,1,0,0,1
Santiago,Chile,,,,,0,1,0,0,1
Johannesburg,South Africa,,,,,0,1,0,0,1
Luanda,Angola,,,,,0,1,0,0,1
Lima,Peru,,,,,0,1,0,0,1
Berlin,Germany,,,,,0,0,0,0,0
