"month","average_hi","average_lo","n"
1,31.6501966955153,15.1590243902439,1271
2,35.1951567944251,17.3775087108014,1148
3,44.6004248623131,25.8209441384736,1271
4,58.3432195121951,36.970487804878,1230
5,70.2156569630212,47.6614162077105,1271
6,78.0788292682927,56.5126341463415,1230
7,82.9840440597954,61.7693941778127,1271
8,80.795153422502,60.0094728560189,1271
9,73.0767317073171,51.9137073170732,1230
10,60.4810700236035,40.3969787568843,1271
11,48.3696097560976,31.2685853658537,1230
12,36.6836821400472,21.6441227380016,1271
