"month","average_hi","average_lo","n"
1,53.0649567269866,34.6849881982691,1271
2,57.4910104529617,38.2728745644599,1148
3,65.3383792289536,44.789205350118,1271
4,73.1907317073171,51.9710731707317,1230
5,80.6556569630212,60.8504169944925,1271
6,87.0963902439024,68.4258536585366,1230
7,89.8369315499607,71.5674272226593,1271
8,88.6940519276161,70.931974822974,1271
9,83.1900975609756,65.3559024390244,1230
10,73.6355153422502,54.3098033044847,1271
11,63.9660975609756,44.2294634146341,1230
12,55.4260582218725,37.6393391030685,1271
