"month","average_hi","average_lo","n"
1,36.7816837136113,22.8258064516129,1271
2,39.3865853658537,24.819756097561,1148
3,45.884500393391,31.1355468135327,1271
4,56.2284390243902,40.7838536585366,1230
5,66.6281195908733,50.2921636506688,1271
6,76.2069756097561,59.6392195121951,1230
7,82.3304642014162,66.0797639653816,1271
8,80.5008654602675,65.159653815893,1271
9,73.3079512195122,57.960243902439,1230
10,62.2201730920535,47.2813060582219,1271
11,51.9936097560976,37.8456097560976,1230
12,42.0778756884343,28.6546341463415,1271
