"month","average_hi","average_lo","n"
1,51.4224390243902,31.3550590086546,1271
2,55.9743379790941,34.7047038327526,1148
3,63.6805664830842,41.0321479150275,1271
4,72.6536585365854,48.9514634146341,1230
5,79.794602675059,57.8862942564909,1271
6,86.7903902439024,66.3232195121951,1230
7,89.9500865460268,69.9115971675846,1271
8,88.2152321007081,68.8229583005508,1271
9,82.3028292682927,62.5370731707317,1230
10,72.7222029897718,50.5375924468922,1271
11,62.7883414634146,40.3215609756098,1230
12,54.2736900078678,34.3053029110936,1271
