"month","average_hi","average_lo","n"
1,31.151833202203,16.571974822974,1271
2,35.0038675958188,19.6693728222996,1148
3,46.5171203776554,29.1763650668765,1271
4,58.716243902439,38.6541463414634,1230
5,70.1917230527144,48.7259795436664,1271
6,79.9234634146341,58.5346341463415,1230
7,84.4111565696302,64.4661369000787,1271
8,82.2561132966168,63.2919590873328,1271
9,75.096243902439,55.1493170731707,1230
10,62.2162077104642,43.0498190401259,1271
11,48.212,32.3904390243902,1230
12,35.6137372147915,21.7545869394178,1271
