"month","average_hi","average_lo","n"
1,36.7219197482297,21.9510149488592,1271
2,40.5393379790941,24.2424390243902,1148
3,51.0991188040913,32.0988512981904,1271
4,63.5801951219512,41.9488780487805,1230
5,73.5529504327301,52.3104012588513,1271
6,81.7768780487805,61.1730243902439,1230
7,85.243320220299,65.4142879622345,1271
8,83.9084028324154,63.8404563335956,1271
9,77.469756097561,56.4914146341463,1230
10,65.1630527143981,44.7516758457907,1271
11,52.416243902439,35.1858536585366,1230
12,40.935845790716,26.9564594807238,1271
