"month","average_hi","average_lo","n"
1,32.2576081825334,18.6513926042486,1271
2,35.0407142857143,20.3167770034843,1148
3,45.7420298977183,28.1474901652242,1271
4,58.6998536585366,38.6509268292683,1230
5,70.4343194335169,49.6169158143194,1271
6,79.5126829268293,59.222,1230
7,83.8831943351692,63.9861841070024,1271
8,81.6675373721479,62.6439024390244,1271
9,74.3993658536585,54.8700975609756,1230
10,61.6412273800157,43.1847836349331,1271
11,48.7726341463415,33.5458048780488,1230
12,36.8458379228954,24.3166483084186,1271
