"month","average_hi","average_lo","n"
1,80.5395279307632,66.4467559055118,1271
2,80.5858885017422,66.5021428571429,1148
3,81.4545397324941,67.9075216365067,1271
4,83.1545365853658,69.6753170731707,1230
5,84.9178756884343,71.1387411487018,1271
6,87.0431986809563,73.3847155812036,1213
7,88.1628324154209,74.6642486231314,1271
8,88.944012588513,75.2179858379229,1271
9,88.6969268292683,74.6150731707317,1230
10,87.0631471282455,73.4777304964539,1271
11,84.2929268292683,71.5626829268293,1230
12,81.7530763178599,68.545948072384,1271
