"month","average_hi","average_lo","n"
1,35.993564122738,20.4758929976397,1271
2,40.4647038327526,23.7320731707317,1148
3,51.7172934697089,32.7661683713611,1271
4,63.668,42.6928780487805,1230
5,73.5319905586153,53.2718646734854,1271
6,82.2789756097561,62.4476585365854,1230
7,85.6213060582219,66.3393548387097,1271
8,84.3644217151849,64.6850826121164,1271
9,78.1609268292683,56.9605853658537,1230
10,65.5284343036979,45.0255704169945,1271
11,52.1645365853659,34.8226341463415,1230
12,39.9171675845791,25.3179071597168,1271
