"month","average_hi","average_lo","n"
1,40.2298623481781,22.6025425101215,1235
2,44.5478820375335,26.1380160857909,1119
3,56.4441162227603,36.2892966855295,1239
4,66.8869172932331,46.5651127819549,1197
5,76.1668280871671,57.3600807754443,1239
6,85.6781087866109,67.3068566638726,1195
7,90.6137914308812,72.3543689320388,1237
8,88.6923002421308,70.2673021001616,1239
9,80.6261654135338,61.3064661654135,1197
10,68.0281751824817,48.6627737226277,1233
11,54.7683832335329,36.6139435414885,1169
12,42.6751661129568,25.9507142857143,1204
