"month","average_hi","average_lo","n"
1,23.8698347757671,7.96157356412274,1271
2,28.2949477351916,12.1540592334495,1148
3,41.4235877261998,24.4384421715185,1271
4,57.1288780487805,37.0439512195122,1230
5,69.5013217938631,49.2924626278521,1271
6,79.0536097560976,59.346243902439,1230
7,83.8119590873328,64.6131392604249,1271
8,80.7186782061369,62.1517702596381,1271
9,72.3021463414634,53.068487804878,1230
10,57.8455074744296,39.8904012588513,1271
11,41.6693658536585,26.6223902439024,1230
12,27.7619984264359,13.353217938631,1271
