"month","average_hi","average_lo","n"
1,39.2931864673485,27.0812273800157,1271
2,42.4973867595819,29.0240418118467,1148
3,50.3431471282455,35.2290952006294,1271
4,61.9388292682927,44.970243902439,1230
5,71.7356726986625,54.484704956727,1271
6,80.0062926829268,63.7119024390244,1230
7,85.2536585365854,69.4792289535799,1271
8,83.5876317859953,68.3047678992919,1271
9,76.4314634146342,61.4122926829268,1230
10,64.811974822974,50.597922895358,1271
11,54.4101463414634,41.3787317073171,1230
12,44.2150747442958,32.6170416994493,1271
