"month","average_hi","average_lo","n"
1,71.4709834775767,49.5187726199843,1271
2,74.7087630662021,52.6366550522648,1148
3,78.6498819826908,56.208371361133,1271
4,83.1924390243902,60.7221463414634,1230
5,88.1675059008655,66.5968214004721,1271
6,90.8220975609756,72.054243902439,1230
7,91.9133752950433,73.7105743509048,1271
8,91.7087332808812,74.2066719118804,1271
9,89.6468292682927,72.8734634146341,1230
10,84.8054287962235,66.675987411487,1271
11,78.5169756097561,58.8011219512195,1230
12,73.5349645948072,53.0898819826908,1271
