"month","average_hi","average_lo","n"
1,40.5184893784422,25.7863886703383,1271
2,43.9656097560976,27.8973170731707,1148
3,52.5435090479937,34.5368528717545,1271
4,64.1630731707317,44.3580975609756,1230
5,74.1595121951219,54.5220928402832,1271
6,82.8372682926829,63.9589268292683,1230
7,87.5765224232888,69.7010070810386,1271
8,85.4261526357199,68.2537844217152,1271
9,78.5219512195122,60.958487804878,1230
10,66.935153422502,49.1995594020456,1271
11,55.8791219512195,39.0966829268293,1230
12,45.4337214791503,30.9000314712825,1271
