"month","average_hi","average_lo","n"
1,67.6817781274587,45.6208025177026,1271
2,71.1456097560976,48.6786933797909,1148
3,77.8131864673485,53.929409913454,1271
4,85.8978536585366,60.5788780487805,1230
5,94.6346184107002,69.1192289535799,1271
6,104.563268292683,78.174243902439,1230
7,106.430354051928,83.8231471282455,1271
8,104.885413060582,83.0310621557828,1271
9,100.134536585366,77.1538048780488,1230
10,89.1234461054288,65.0188827694729,1271
11,76.3320975609756,53.0242926829268,1230
12,66.5961132966168,45.0843430369788,1271
