"month","average_hi","average_lo","n"
1,36.066782061369,20.9760975609756,1271
2,39.6891986062718,22.9836933797909,1148
3,49.4056176239182,30.1281982690795,1271
4,62.0908780487805,40.3154146341463,1230
5,71.7345397324941,50.2476947285602,1271
6,79.4580975609756,58.7538536585366,1230
7,83.2124783634933,63.3432258064516,1271
8,81.7659638080252,61.8120220298977,1271
9,75.1530243902439,54.6732682926829,1230
10,63.0524783634933,43.4857277734068,1271
11,51.2532682926829,34.3347317073171,1230
12,40.3365066876475,26.1376081825334,1271
