"month","average_hi","average_lo","n"
1,46.8925570416994,35.7059323367427,1271
2,50.7888327526132,36.3733101045296,1148
3,56.4315656963021,39.6710306845004,1271
4,61.6546341463415,43.4106829268293,1230
5,68.4078678206137,49.1134539732494,1271
6,73.7585365853659,53.9711219512195,1230
7,80.8468450039339,58.1157199055862,1271
8,81.6257592446892,58.4550432730134,1271
9,75.8414146341463,53.6551707317073,1230
10,64.0577025963808,46.4049567269866,1271
11,52.9470243902439,40.6525853658537,1230
12,45.8846420141621,35.5352793076318,1271
