"month","average_hi","average_lo","n"
1,66.1593548387097,49.9671439811172,1271
2,66.1007491289199,51.4933101045296,1148
3,66.694256490952,54.1402832415421,1271
4,68.6744878048781,56.8452682926829,1230
5,69.3265617623918,60.0836821400472,1271
6,71.5656097560976,62.6,1230
7,75.4918804091267,66.1409441384736,1271
8,77.2328245476003,67.4743036978757,1271
9,76.9603414634146,66.0459024390244,1230
10,74.2507159716758,61.4109520062943,1271
11,70.1513658536585,54.3861463414634,1230
12,65.7987883556255,49.3114398111723,1271
