"month","average_hi","average_lo","n"
1,43.8999685287175,29.065192761605,1271
2,47.6686236933798,31.3287630662021,1148
3,56.1959087332809,38.0197324940991,1271
4,67.1848780487805,47.5986829268293,1230
5,76.0246577498033,57.4399055861526,1271
6,84.6694634146342,66.7496585365854,1230
7,89.0641070023603,71.8574665617624,1271
8,87.0529504327301,70.2681982690795,1271
9,80.2284390243902,63.3788292682927,1230
10,68.9001416207711,51.4680409126672,1271
11,57.9797073170732,41.2445365853659,1230
12,47.9098190401259,33.4814948859166,1271
