"month","average_hi","average_lo","n"
1,61.9763021243116,41.5036034618411,1271
2,65.6730139372822,45.0454529616725,1148
3,72.9063099921322,51.8651455546814,1271
4,80.1811707317073,58.6536097560976,1230
5,86.4519118804091,66.6225963808025,1271
6,92.6743414634146,72.6384390243903,1230
7,96.2608497246263,74.7788198269079,1271
8,97.5470495672699,74.9993233674272,1271
9,91.1001463414634,69.9927317073171,1230
10,82.0861683713611,60.6772147915028,1271
11,71.4333170731707,50.6109756097561,1230
12,63.1466561762392,42.8322895357986,1271
