"month","average_hi","average_lo","n"
1,43.2176,30.1637333333333,675
2,46.4216233766234,32.1092857142857,616
3,55.0644247787611,39.0848744460857,678
4,66.7785915492958,49.0433802816901,639
5,75.930603085554,59.2034782608696,713
6,85.2361320754717,68.6458490566038,636
7,89.5074889867841,73.1906607929515,681
8,87.2969026548673,71.8673451327434,678
9,80.5722018348624,65.4488990825688,654
10,68.6714369501466,53.4643401759531,682
11,57.6408571428571,43.2215262321145,630
12,47.6867078825348,35.2049459041731,647
