"month","average_hi","average_lo","n"
1,37.2580441640379,20.9248895899054,1268
2,41.8714136125654,23.7335078534031,1146
3,52.4959427207637,32.2556085918854,1257
4,64.21325,42.67835,1200
5,73.9174645669291,53.1715433070866,1270
6,82.1115875613748,62.1264864864865,1222
7,85.6025531914894,65.8010734017364,1269
8,84.7165900079302,64.0558823529412,1261
9,78.2912060301508,56.4059798994975,1194
10,66.1256198347107,44.915520661157,1210
11,53.5389473684211,35.1894736842105,1197
12,41.2353627760252,25.6386266771902,1268
