"month","average_hi","average_lo","n"
1,38.8601101494886,22.7239811172305,1271
2,43.0096341463415,25.5363066202091,1148
3,53.2455232100708,33.6865617623918,1271
4,64.905756097561,43.3252195121951,1230
5,74.2153107789142,53.4532808811959,1271
6,82.3530243902439,61.830243902439,1230
7,85.960346184107,66.0051298190401,1271
8,84.9361447678993,64.564846577498,1271
9,78.4727804878049,57.2064390243902,1230
10,66.3072069236821,45.3833044846577,1271
11,53.7908292682927,35.439756097561,1230
12,42.5384264358773,27.1836191974823,1271
