"month","average_hi","average_lo","n"
1,34.4957828481511,20.6819512195122,1271
2,37.2880487804878,22.2677700348432,1148
3,46.3406608969316,29.278756884343,1271
4,58.9376585365854,39.3286341463415,1230
5,69.9470023603462,49.8205664830842,1271
6,78.6040487804878,59.163756097561,1230
7,82.8602675059009,63.8673642800944,1271
8,80.9403147128245,62.4617781274587,1271
9,74.3986341463415,55.6364878048781,1230
10,62.4371361132966,44.783115656963,1271
11,50.5486341463415,35.6013170731707,1230
12,38.9360188827695,26.2891424075531,1271
