"month","average_hi","average_lo","n"
1,57.1120535011802,37.4383792289536,1271
2,61.0193554006969,41.2063414634146,1148
3,69.348371361133,48.9794807238395,1271
4,77.0580975609756,56.3496097560976,1230
5,84.3954366640441,65.4665460267506,1271
6,92.1849756097561,73.3259512195122,1230
7,96.4490708661417,77.2039527559055,1270
8,96.8205350118017,77.228859166011,1271
9,89.4343414634146,69.7585853658537,1230
10,78.8308733280881,58.334807238395,1271
11,67.4480295566502,47.6056157635468,1218
12,58.0698347757671,39.0405350118017,1271
