"month","average_hi","average_lo","n"
1,63.1831943351692,42.7716758457907,1271
2,66.6362020905923,46.3841637630662,1148
3,73.4451770259638,52.5956254917388,1271
4,79.7395121951219,59.0897073170732,1230
5,86.3044846577498,67.1866719118804,1271
6,91.7368780487805,72.9780975609756,1230
7,94.0215420928403,74.8377340676633,1271
8,94.7025963808025,74.6357828481511,1271
9,89.9614634146342,69.9245365853659,1230
10,82.1262470495673,60.3747128245476,1271
11,72.452,51.3018536585366,1230
12,64.6689378442172,44.5508575924469,1271
