"month","average_hi","average_lo","n"
1,58.4551848937844,38.4754681353265,1271
2,62.9339721254355,42.2030836236934,1148
3,70.7938945712038,48.5990873328088,1271
4,78.8623414634146,55.2890731707317,1230
5,88.449756097561,64.2599370574351,1271
6,99.4836097560976,73.9869756097561,1230
7,104.363823760818,80.0056176239182,1271
8,102.442738001574,78.433768686074,1271
9,94.478,70.3110243902439,1230
10,81.0740047206924,57.6203304484658,1271
11,66.9969756097561,45.5908780487805,1230
12,57.0947757671125,37.8014948859166,1271
