"month","average_hi","average_lo","n"
1,68.8927773406766,49.670590086546,1271
2,69.3558013937282,50.9385714285714,1148
3,70.7046734854445,53.0042014162077,1271
4,73.4223902439024,55.5956585365854,1230
5,74.7478048780488,58.8180173092054,1271
6,78.4868292682927,61.9629756097561,1230
7,83.4351062155783,65.2944767899292,1271
8,84.7652084972463,65.9201573564123,1271
9,83.6621951219512,64.9397073170732,1230
10,79.4874272226593,60.6899606608969,1271
11,73.4898536585366,53.7238048780488,1230
12,68.2404720692368,49.0890952006294,1271
