"month","average_hi","average_lo","n"
1,50.2399055861526,32.9866719118804,1271
2,54.7265679442509,36.510818815331,1148
3,63.8735955940205,44.3123682140047,1271
4,72.987756097561,52.9206829268293,1230
5,81.3249567269866,62.4304799370574,1271
6,89.1232195121951,70.5819024390244,1230
7,91.8176396538159,74.1022974036192,1271
8,91.3143194335169,72.9707474429583,1271
9,85.6266829268293,66.0096097560976,1230
10,74.5505271439811,53.9649567269866,1271
11,62.6105365853659,43.5069756097561,1230
12,52.852667191188,35.8874901652242,1271
