"month","average_hi","average_lo","n"
1,47.778961447679,29.2746498819827,1271
2,52.5168641114983,32.489668989547,1148
3,61.7390873328088,39.8263886703383,1271
4,71.399512195122,48.2777073170732,1230
5,79.2647993705744,57.6919905586153,1271
6,86.9696585365854,66.1648780487805,1230
7,90.2397010228167,70.3341935483871,1271
8,89.4784893784422,69.0060739575138,1271
9,83.369512195122,61.7242926829268,1230
10,72.4528402832415,49.6272541306058,1271
11,60.7721951219512,39.6166341463415,1230
12,50.9389457120378,32.6617938630999,1271
