"month","average_hi","average_lo","n"
1,68.7783333333333,43.2861111111111,648
2,68.3550600343053,43.7426072041166,583
3,72.3044204018547,46.5544049459042,647
4,75.4838778625954,49.1939847328244,655
5,80.6050077279753,54.4972179289026,647
6,87.0418181818182,58.7614354066986,627
7,93.7096352583587,63.8482370820669,658
8,94.864201183432,64.006449704142,676
9,91.7229090909091,61.406,660
10,82.9602366863905,55.0170666666667,676
11,74.6482370820669,47.1555623100304,658
12,67.2699706744868,42.4062170087977,682
