"month","average_hi","average_lo","n"
1,55.1929504327301,39.0027222659323,1271
2,61.0163763066202,41.4735191637631,1148
3,65.678410700236,44.4228324154209,1271
4,71.9885365853658,46.9956097560976,1230
5,80.099653815893,51.6096616837136,1271
6,87.6631707317073,56.2489268292683,1230
7,92.4992604248623,58.9410857592447,1271
8,91.5145712037766,58.5196223446105,1271
9,87.7721951219512,56.2266829268293,1230
10,78.4638467677574,50.503309352518,1253
11,64.4986341463415,42.8638048780488,1230
12,55.1092525570417,38.3359716758458,1271
