"month","average_hi","average_lo","n"
1,63.3208497246263,40.9235247836349,1271
2,67.3507142857143,44.6997212543554,1148
3,74.0092525570417,51.6226907946499,1271
4,80.9728780487805,58.4535609756098,1230
5,87.1389142407553,66.8950747442958,1271
6,92.6932195121951,72.9418048780488,1230
7,95.3439968528718,75.0439339103068,1271
8,96.5602360346184,75.2260582218725,1271
9,90.8376097560976,69.8273658536585,1230
10,82.5672541306058,60.491974822974,1271
11,72.3480975609756,50.3029268292683,1230
12,64.5539417781275,42.3956726986625,1271
