"month","average_hi","average_lo","n"
1,58.1678363493312,46.6835247836349,1271
2,61.1929555361813,48.2938448125545,1147
3,62.7205192761605,49.2348229740362,1271
4,64.1111219512195,50.0919024390244,1230
5,65.055987411487,51.5743981117231,1271
6,67.5668292682927,53.3580975609756,1230
7,67.6751219512195,54.6580487804878,1271
8,68.7827380015736,55.7605664830842,1271
9,71.0218048780488,55.926243902439,1230
10,70.4623603461841,54.6147128245476,1271
11,64.0942345276873,50.8705374592834,1228
12,58.3605822187254,47.0129346970889,1271
