"month","average_hi","average_lo","n"
1,46.8629583005507,36.8435719905586,1271
2,49.1958013937282,37.0073867595819,1148
3,53.4270810385523,39.4842328874902,1271
4,58.3781951219512,42.6031707317073,1230
5,64.9273957513769,47.7990715971676,1271
6,69.9760487804878,52.2543902439024,1230
7,75.9995908733281,55.9724311565696,1271
8,76.5309520062943,56.4230684500393,1271
9,70.4544390243902,52.7130243902439,1230
10,59.6616522423289,46.2436506687648,1271
11,50.9569268292683,40.3088292682927,1230
12,45.6703697875688,36.1467977970102,1271
