"month","average_hi","average_lo","n"
1,40.283115656963,23.9650039339103,1271
2,44.9115505226481,27.2991463414634,1148
3,56.1178756884343,36.9046105428796,1271
4,67.5996097560976,47.1881951219512,1230
5,76.8280723839496,57.7360346184107,1271
6,85.7130243902439,67.1913170731707,1230
7,89.7059323367427,71.46871754524,1271
8,88.1244531864673,69.5548544453187,1271
9,80.8739512195122,61.1687804878049,1230
10,68.7510149488592,49.0552478363493,1271
11,55.5750243902439,37.8706341463415,1230
12,43.6636034618411,27.8529189614477,1271
