"month","average_hi","average_lo","n"
1,70.4821872541306,51.4596852871755,1271
2,73.2728397212544,54.4948257839721,1148
3,77.0498505114083,58.3168214004721,1271
4,81.8585365853659,63.2878048780488,1230
5,87.5659008654603,69.4526042486231,1271
6,89.934243902439,74.5348208469055,1230
7,90.4383949645948,75.7282454760032,1271
8,90.6700787401575,75.9034173228346,1270
9,89.4652195121951,74.2565365853659,1230
10,84.8905428796223,67.9609126671912,1271
11,78.4252195121951,60.1066341463415,1230
12,73.073564122738,54.6440283241542,1271
